Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
27636;Raleigh;NC;35.797692;-78.625265;-5;1;35.797692,-78.625265
27357;Stokesdale;NC;36.252154;-79.97548;-5;1;36.252154,-79.97548
27835;Greenville;NC;35.588523;-77.353092;-5;1;35.588523,-77.353092
27419;Greensboro;NC;36.080707;-80.0244;-5;1;36.080707,-80.0244
27557;Middlesex;NC;35.777862;-78.19889;-5;1;35.777862,-78.19889
28323;Bunnlevel;NC;35.316332;-78.82527;-5;1;35.316332,-78.82527
28604;Banner Elk;NC;36.166515;-81.84672;-5;1;36.166515,-81.84672
27519;Cary;NC;35.76812;-78.829548;-5;1;35.76812,-78.829548
28608;Boone;NC;36.221334;-81.713416;-5;1;36.221334,-81.713416
28457;Rocky Point;NC;34.449782;-77.88697;-5;1;34.449782,-77.88697
27023;Lewisville;NC;36.097767;-80.42715;-5;1;36.097767,-80.42715
28761;Nebo;NC;35.666254;-81.90629;-5;1;35.666254,-81.90629
27427;Greensboro;NC;36.080707;-80.0244;-5;1;36.080707,-80.0244
28504;Kinston;NC;35.264739;-77.62481;-5;1;35.264739,-77.62481
28635;Hays;NC;36.315077;-81.13146;-5;1;36.315077,-81.13146
28384;Saint Pauls;NC;34.804654;-78.9594;-5;1;34.804654,-78.9594
28699;Scotts;NC;35.831037;-81.00762;-5;1;35.831037,-81.00762
27915;Avon;NC;35.354252;-75.50417;-5;1;35.354252,-75.50417
27834;Greenville;NC;35.626653;-77.37896;-5;1;35.626653,-77.37896
28373;Pinebluff;NC;35.100144;-79.47979;-5;1;35.100144,-79.47979
28039;East Spencer;NC;35.677889;-80.44593;-5;1;35.677889,-80.44593
28206;Charlotte;NC;35.248292;-80.82748;-5;1;35.248292,-80.82748
28282;Charlotte;NC;35.224242;-80.844743;-5;1;35.224242,-80.844743
27341;Seagrove;NC;35.53332;-79.71018;-5;1;35.53332,-79.71018
28007;Ansonville;NC;35.104652;-80.10965;-5;1;35.104652,-80.10965
27107;Winston Salem;NC;36.046215;-80.18998;-5;1;36.046215,-80.18998
28584;Swansboro;NC;34.69771;-77.10614;-5;1;34.69771,-77.10614
27028;Mocksville;NC;35.920477;-80.57143;-5;1;35.920477,-80.57143
27049;Toast;NC;36.551332;-80.655786;-5;1;36.551332,-80.655786
27105;Winston Salem;NC;36.147887;-80.23423;-5;1;36.147887,-80.23423
28519;Bridgeton;NC;35.120742;-77.01969;-5;1;35.120742,-77.01969
28386;Shannon;NC;34.851865;-79.12266;-5;1;34.851865,-79.12266
28772;Rosman;NC;35.139812;-82.84253;-5;1;35.139812,-82.84253
27103;Winston Salem;NC;36.066545;-80.30733;-5;1;36.066545,-80.30733
27230;Cedar Falls;NC;35.802758;-79.879711;-5;1;35.802758,-79.879711
27233;Climax;NC;35.911979;-79.69566;-5;1;35.911979,-79.69566
28112;Monroe;NC;34.936388;-80.5382;-5;1;34.936388,-80.5382
28018;Bostic;NC;35.441168;-81.7995;-5;1;35.441168,-81.7995
28109;Misenheimer;NC;35.485703;-80.28811;-5;1;35.485703,-80.28811
27311;Pelham;NC;36.49076;-79.48073;-5;1;36.49076,-79.48073
27862;Pendleton;NC;36.490929;-77.1981;-5;1;36.490929,-77.1981
28037;Denver;NC;35.501448;-81.00412;-5;1;35.501448,-81.00412
27808;Bath;NC;35.47031;-76.77855;-5;1;35.47031,-76.77855
27553;Manson;NC;36.484233;-78.30615;-5;1;36.484233,-78.30615
28645;Lenoir;NC;35.934783;-81.54476;-5;1;35.934783,-81.54476
27804;Rocky Mount;NC;35.973773;-77.82694;-5;1;35.973773,-77.82694
27248;Franklinville;NC;35.761433;-79.69835;-5;1;35.761433,-79.69835
28333;Dudley;NC;35.293245;-78.01897;-5;1;35.293245,-78.01897
28610;Claremont;NC;35.725163;-81.14279;-5;1;35.725163,-81.14279
28382;Roseboro;NC;34.945305;-78.51432;-5;1;34.945305,-78.51432
27949;Kitty Hawk;NC;36.115899;-75.72772;-5;1;36.115899,-75.72772
28040;Ellenboro;NC;35.346886;-81.75621;-5;1;35.346886,-81.75621
28309;Fayetteville;NC;35.039726;-78.842868;-5;1;35.039726,-78.842868
28787;Weaverville;NC;35.723848;-82.54285;-5;1;35.723848,-82.54285
28351;Laurel Hill;NC;34.827291;-79.56026;-5;1;34.827291,-79.56026
28570;Newport;NC;34.770681;-76.87786;-5;1;34.770681,-76.87786
28289;Charlotte;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
27247;Ether;NC;35.451411;-79.783404;-5;1;35.451411,-79.783404
28236;Charlotte;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
27926;Corapeake;NC;36.519826;-76.61637;-5;1;36.519826,-76.61637
28106;Matthews;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
28311;Fayetteville;NC;35.134301;-78.89411;-5;1;35.134301,-78.89411
28265;Charlotte;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
28701;Alexander;NC;35.712998999999996;-82.63479;-5;1;35.712999,-82.63479
28328;Clinton;NC;35.000056;-78.33424;-5;1;35.000056,-78.33424
27503;Bahama;NC;36.158344;-78.87419;-5;1;36.158344,-78.87419
27929;Currituck;NC;36.433902;-75.97921;-5;1;36.433902,-75.97921
28768;Pisgah Forest;NC;35.272331;-82.67373;-5;1;35.272331,-82.67373
28288;Charlotte;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
27045;Rural Hall;NC;36.232354;-80.30391;-5;1;36.232354,-80.30391
27030;Mount Airy;NC;36.49376;-80.62336;-5;1;36.49376,-80.62336
27024;Lowgap;NC;36.520921;-80.84824;-5;1;36.520921,-80.84824
28152;Shelby;NC;35.258879;-81.57867;-5;1;35.258879,-81.57867
28773;Saluda;NC;35.23899;-82.34408;-5;1;35.23899,-82.34408
27919;Belvidere;NC;36.319777;-76.49654;-5;1;36.319777,-76.49654
28090;Lawndale;NC;35.450548;-81.56223;-5;1;35.450548,-81.56223
28281;Charlotte;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
27982;Waves;NC;35.56179;-75.47152;-5;1;35.56179,-75.47152
27697;Raleigh;NC;35.88224;-78.413371;-5;1;35.88224,-78.413371
28076;Henrietta;NC;35.256252;-81.77804;-5;1;35.256252,-81.77804
27204;Asheboro;NC;35.788286;-79.720556;-5;1;35.788286,-79.720556
27882;Spring Hope;NC;35.94178;-78.11872;-5;1;35.94178,-78.11872
28583;Stonewall;NC;35.156145;-76.632264;-5;1;35.156145,-76.632264
27650;Raleigh;NC;35.797692;-78.625265;-5;1;35.797692,-78.625265
28258;Charlotte;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
28115;Mooresville;NC;35.584157;-80.80258;-5;1;35.584157,-80.80258
28222;Charlotte;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
28233;Charlotte;NC;35.489411;-80.825368;-5;1;35.489411,-80.825368
28562;New Bern;NC;35.091472;-77.09936;-5;1;35.091472,-77.09936
27823;Enfield;NC;36.190589;-77.71859;-5;1;36.190589,-77.71859
27847;Kelford;NC;36.184037;-77.21536;-5;1;36.184037,-77.21536
27887;Tillery;NC;36.235198;-77.502602;-5;1;36.235198,-77.502602
28343;Gibson;NC;34.767875;-79.59239;-5;1;34.767875,-79.59239
27890;Weldon;NC;36.421387;-77.60825;-5;1;36.421387,-77.60825
27831;Garysburg;NC;36.458825;-77.57834;-5;1;36.458825,-77.57834
28370;Pinehurst;NC;35.216222;-79.452352;-5;1;35.216222,-79.452352
28107;Midland;NC;35.247181;-80.52363;-5;1;35.247181,-80.52363
27313;Pleasant Garden;NC;35.937595;-79.75441000000001;-5;1;35.937595,-79.75441
27205;Asheboro;NC;35.665973;-79.832161;-5;1;35.665973,-79.832161
28378;Rex;NC;34.858715;-79.04705;-5;1;34.858715,-79.04705
28784;Tuxedo;NC;35.219796;-82.43186;-5;1;35.219796,-82.43186
28225;Charlotte;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
28662;Pineola;NC;36.023359;-81.84888;-5;1;36.023359,-81.84888
27549;Louisburg;NC;36.062239;-78.24953;-5;1;36.062239,-78.24953
27703;Durham;NC;35.966431;-78.83969;-5;1;35.966431,-78.83969
28078;Huntersville;NC;35.409544;-80.86362;-5;1;35.409544,-80.86362
28622;Elk Park;NC;36.17893;-81.95958;-5;1;36.17893,-81.95958
27592;Willow Spring;NC;35.554891;-78.67038;-5;1;35.554891,-78.67038
28739;Hendersonville;NC;35.290454;-82.50652;-5;1;35.290454,-82.50652
28297;Charlotte;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
28533;Cherry Point;NC;34.903793;-76.899976;-5;1;34.903793,-76.899976
